run_key,dataset,exog,loss,fold,checkpoint,anchoring,mse,rmse,mae,corr,corr_h1,corr_hN,corr_valid_horizons,corr_total_horizons,corr_invalid_reasons,seg_mse_median,seg_mse_p90,n_segments,n_windows,exog_in,exog_cols_actual,input_cols_actual,seq_len,config_hash,plan_id,eval_version,eval_code_hash,persist_mse,improve_mse_pct
old__none__huber__f2,old,none,huber,2,best_mse,raw,72757.7734375,269.7364807128906,197.0831756591797,0.7292478566519365,0.7304547620826972,0.7131419817493203,15,15,,75350.2109375,217298.39687499998,19,5523,0,,"HL02,HL03,HL04,HL05,HL06",60,31f0015bf82145a6,d896860175be,v1-corr-skip-constant,2569904e,2989.240478515625,-2333.9886322437837
old__none__huber__f2,old,none,huber,2,best_mse,anchored,3350.6318359375,57.8846435546875,36.556766510009766,0.9833238839105056,0.9993983800483817,0.967025437037423,15,15,,3292.61181640625,7856.23232421875,19,5523,0,,"HL02,HL03,HL04,HL05,HL06",60,31f0015bf82145a6,d896860175be,v1-corr-skip-constant,2569904e,2989.240478515625,-12.089738514491549
old__none__huber__f2,old,none,huber,2,best_mse,persistence,2989.240478515625,54.673946380615234,24.723085403442383,0.9804422418521448,0.9993983800483817,0.9503197685227978,15,15,,93.80088806152344,6757.759179687499,19,5523,0,,"HL02,HL03,HL04,HL05,HL06",60,31f0015bf82145a6,d896860175be,v1-corr-skip-constant,2569904e,2989.240478515625,0.0
old__none__huber__f3,old,none,huber,3,best_corr,raw,40995.453125,202.4733428955078,143.6492919921875,0.7924355145976303,0.8058055253033377,0.765839133565441,15,15,,13037.4072265625,97316.9421875,19,5523,0,,"HL02,HL03,HL04,HL05,HL06",60,c2e36c0a859d9eca,d896860175be,v1-corr-skip-constant,2569904e,2989.240478515625,-1271.4337611725778
old__none__huber__f3,old,none,huber,3,best_corr,anchored,2008.388671875,44.81504821777344,24.195573806762695,0.9876130400553385,0.9993983800438022,0.9680398038531502,15,15,,329.5091247558594,3901.922167968749,19,5523,0,,"HL02,HL03,HL04,HL05,HL06",60,c2e36c0a859d9eca,d896860175be,v1-corr-skip-constant,2569904e,2989.240478515625,32.812743360403346
old__none__huber__f3,old,none,huber,3,best_corr,persistence,2989.240478515625,54.673946380615234,24.723085403442383,0.9804422419340377,0.9993983800438022,0.950319768758165,15,15,,93.80087280273438,6757.759179687499,19,5523,0,,"HL02,HL03,HL04,HL05,HL06",60,c2e36c0a859d9eca,d896860175be,v1-corr-skip-constant,2569904e,2989.240478515625,0.0
old__none__huber__f3,old,none,huber,3,best_mse,raw,39977.86328125,199.9446563720703,140.1058349609375,0.7941967071857132,0.8069019278822319,0.7707415829423472,15,15,,10829.505859375,102231.04218749999,19,5523,0,,"HL02,HL03,HL04,HL05,HL06",60,c2e36c0a859d9eca,d896860175be,v1-corr-skip-constant,2569904e,2989.240478515625,-1237.3920087253039
old__none__huber__f3,old,none,huber,3,best_mse,anchored,1978.0860595703125,44.47568130493164,24.5226993560791,0.9881447347353169,0.9993983800438022,0.9687539693598517,15,15,,603.7910766601562,3602.2574218749987,19,5523,0,,"HL02,HL03,HL04,HL05,HL06",60,c2e36c0a859d9eca,d896860175be,v1-corr-skip-constant,2569904e,2989.240478515625,33.82646616131145
old__none__huber__f3,old,none,huber,3,best_mse,persistence,2989.240478515625,54.673946380615234,24.723085403442383,0.9804422419340377,0.9993983800438022,0.950319768758165,15,15,,93.80087280273438,6757.759179687499,19,5523,0,,"HL02,HL03,HL04,HL05,HL06",60,c2e36c0a859d9eca,d896860175be,v1-corr-skip-constant,2569904e,2989.240478515625,0.0
old__full__mse__f1,old,full,mse,1,best_corr,raw,51381.7109375,226.6753387451172,165.41575622558594,0.6029519386013847,0.7192023626104754,0.6389648223875147,15,15,,41287.12109375,101351.13593749999,19,5523,9,"Past10Min,Past1Hr,Now,north_gate_opening_1,north_gate_opening_2,north_gate_opening_3,south_gate_opening_1,south_gate_opening_2,south_gate_opening_3","HL02,HL03,HL04,HL05,HL06",60,9439c4ac1c6ceb81,d896860175be,v1-corr-skip-constant,2569904e,2989.240234375,-1618.888644232472
old__full__mse__f1,old,full,mse,1,best_corr,anchored,9127.318359375,95.53700256347656,68.56066131591797,0.9694978356521986,0.9993983800277967,0.9668013390844525,15,15,,7441.3896484375,26095.325,19,5523,9,"Past10Min,Past1Hr,Now,north_gate_opening_1,north_gate_opening_2,north_gate_opening_3,south_gate_opening_1,south_gate_opening_2,south_gate_opening_3","HL02,HL03,HL04,HL05,HL06",60,9439c4ac1c6ceb81,d896860175be,v1-corr-skip-constant,2569904e,2989.240234375,-205.33907092560491
old__full__mse__f1,old,full,mse,1,best_corr,persistence,2989.240234375,54.673946380615234,24.723085403442383,0.9804422411720372,0.9993983800270143,0.9503197670019179,15,15,,93.80084228515625,6757.759179687499,19,5523,9,"Past10Min,Past1Hr,Now,north_gate_opening_1,north_gate_opening_2,north_gate_opening_3,south_gate_opening_1,south_gate_opening_2,south_gate_opening_3","HL02,HL03,HL04,HL05,HL06",60,9439c4ac1c6ceb81,d896860175be,v1-corr-skip-constant,2569904e,2989.240234375,0.0
old__full__mse__f1,old,full,mse,1,best_mse,raw,51381.7109375,226.6753387451172,165.41575622558594,0.6029519386013847,0.7192023626104754,0.6389648223875147,15,15,,41287.12109375,101351.13593749999,19,5523,9,"Past10Min,Past1Hr,Now,north_gate_opening_1,north_gate_opening_2,north_gate_opening_3,south_gate_opening_1,south_gate_opening_2,south_gate_opening_3","HL02,HL03,HL04,HL05,HL06",60,9439c4ac1c6ceb81,d896860175be,v1-corr-skip-constant,2569904e,2989.240234375,-1618.888644232472
old__full__mse__f1,old,full,mse,1,best_mse,anchored,9127.318359375,95.53700256347656,68.56066131591797,0.9694978356521986,0.9993983800277967,0.9668013390844525,15,15,,7441.3896484375,26095.325,19,5523,9,"Past10Min,Past1Hr,Now,north_gate_opening_1,north_gate_opening_2,north_gate_opening_3,south_gate_opening_1,south_gate_opening_2,south_gate_opening_3","HL02,HL03,HL04,HL05,HL06",60,9439c4ac1c6ceb81,d896860175be,v1-corr-skip-constant,2569904e,2989.240234375,-205.33907092560491
